MdlN,End Status,PrP start DT,Sim start DT,Sim end DT,PoP end DT,Sim Dur,Sim device name,Sim Dir,1st SP date,last SP date,Git tag,Git hash,PRJ_to_TIF,GXG,Up_MM,Date Removed Output
NBr29,Removed Output,10/07/2025 16:24,10/07/2025 16:25,10/07/2025 16:43,10/07/2025 16:44,00:18:07,UU120516,C:/OD/WS_Mdl\models/NBr\Sim,01/01/2010,05/01/2010,0.7.7,62f48f8ff352a96f963d6c1e6bc2c2e71b0de4b1,1.0,(L == 1),1.0,12/02/2026 15:22
NBr30,Removed Output,11/07/2025 13:45,11/07/2025 13:49,11/07/2025 13:53,11/07/2025 13:54,00:04:10,UU120516,C:/OD/WS_Mdl\models/NBr\Sim,01/01/2010,05/01/2010,0.7.8,bc939be1b30e4d76a90a9590d35e4ad04f3abda1,1.0,(L == 1),1.0,04/12/2025 12:59
NBr32,Removed Output,,,,,,,,,,-,77d2a27626d3db6d905bad77e986db6f471a25d4,,,,12/02/2026 15:22
NBr34,Removed Output,13/10/2025 09:20,13/10/2025 09:34,,,,UU120516,C:/OD/WS_Mdl\models/NBr\Sim,01/01/1993,31/12/2004,,,,,,04/12/2025 13:00
NBr39,Removed Output,25/11/2025 10:30,25/11/2025 11:12,25/11/2025 11:10,,00:01:03,UU120516,G:/models/NBr\Sim,01/01/1993,31/12/2004,v0.8.1-47-gcf25d4f,cf25d4f5dc2d8b78a2096f915338a1de77f9e8ba,,,,04/12/2025 13:34
NBr43,Removed Output,04/12/2025 11:24,04/12/2025 12:03,05/12/2025 22:50,,1.10:47:20,UU120516,G:/models/NBr\Sim,01/01/1993,01/01/1996,v0.8.1-63-g139d009,139d009f3a7a14ffef38eb27fe482a78607e37f9,,,,06/03/2026 16:31
NBr49,Completed,16/02/2026 18:05,16/02/2026 18:06,16/02/2026 18:10,,00:03:45,UU120516,G:/models/NBr\Sim,01/01/1993,03/01/1993,,,,,,
NBr50,Removed Output,20/02/2026 10:52,20/02/2026 11:05,21/02/2026 02:47,,15:41:42,ws6-waterscapei,G:/models/NBr\Sim,01/01/1993,01/01/1996,v0.7.12.merge-163-ge26ae1d,e26ae1dcbd23e14785731d469c767d743a5483d0,1.0,(L == 1),,06/03/2026 16:40
NBr52,PoPed,06/03/2026 16:07,06/03/2026 16:32,09/03/2026 21:16,09/03/2026 21:17,3.04:43:58,UU120516,G:\models\NBr\Sim,01/01/1996,31/12/2004,v0.8.1-159-gac3cf75,ac3cf75aaea9ff475496d7e83114e2a1e2edcd93,1.0,1,1.0,
NBr54,PoPed,21/03/2026 00:51,21/03/2026 00:57,22/03/2026 20:26,22/03/2026 20:27,1.19:28:25,UU120516,G:\models\NBr\Sim\NBr54,01/01/1996,01/01/1999,v0.8.1-176-g977fd4e,977fd4ea6f6f2beb3076bd885ab18c82865beebc,1.0,1,1.0,
NBr56,Running,22/03/2026 14:04,22/03/2026 14:10,,,,UU120516,G:\models\NBr\Sim\NBr56,01/01/1996,01/01/1999,v0.8.1-179-gc7ec34f,c7ec34f7a8524a70fb66bf18080e3a944143e08b,,,,
NBr55,Removed Output,23/03/2026 18:53,23/03/2026 19:06,,,,UU120516,G:\models\NBr\Sim\NBr55,01/01/1996,01/01/1999,v0.8.1-189-g5cc4b42,5cc4b42d5627bea86727766d58053c0f71f6ff7d,,,,09/04/2026 10:00
NBr57,PoPed,30/03/2026 18:57,31/03/2026 12:45,31/03/2026 14:04,31/03/2026 14:05,01:18:55,UU120516,G:\models\NBr\Sim\NBr57,01/01/1996,02/04/1996,,,1.0,1,1.0,
