x,y,ilay,id,code,filterno,surfacelevel,filtertoplevel,filterbottomlevel,L,R,C,case1_L,case2_L,case3_L,case4_L,L_match,TOP_L_match,BOT_L_match,match_distance,match?,L_extra,TOP_match?,BOT_match?
117985.0,394120.0,6,B50B0546_2,B50B0546,2,8.17,5.78,5.28,11,84,196,11,11,11.0,,11,6.699999809265137,4.789999961853027,46.09772228646444,True,,True,True
117847.0,394107.0,18,B50B0077_6,B50B0077,6,8.54,-86.54,-88.54,35,84,190,35,35,35.0,,35,-86.47000122070312,-145.9600067138672,43.104524124504614,True,,True,True
119695.0,393870.0,9,B50B0075_2,B50B0075,2,11.99,-6.95,-8.95,17,94,264,17,17,17.0,,17,-6.579999923706055,-15.800000190734863,49.24428900898052,True,,True,True
119695.0,393870.0,11,B50B0075_3,B50B0075,3,11.99,-29.95,-31.95,21,94,264,21,23,,22,"21, 22, 23",-26.579999923706055,-58.04999923706055,49.24428900898052,True,"22, 23",True,True
119695.0,393870.0,18,B50B0075_7,B50B0075,7,11.99,-85.95,-87.95,35,94,264,35,35,35.0,,35,-79.58999633789062,-124.16999816894531,49.24428900898052,True,,True,True
119695.0,393870.0,8,B50B0075_1,B50B0075,1,11.99,5.05,3.05,15,94,264,15,16,,,"15, 16",5.289999961853027,-6.579999923706055,49.24428900898052,True,16,True,True
118483.0,393812.0,6,B50B0380_1,B50B0380,1,8.1,6.22,5.22,11,96,216,11,13,,12,"11, 12, 13",7.079999923706055,4.167669773101807,50.32891812864648,True,"12, 13",True,True
118482.0,393812.0,6,B50B0374_1,B50B0374,1,8.12,6.94,6.44,11,96,216,11,11,11.0,,11,7.079999923706055,5.340000152587891,49.678969393496885,True,,True,True
114423.0,393655.0,6,5239_1,5239,1,3.25,4.25,3.25,11,102,53,11,11,11.0,,11,4.619999885559082,2.240000009536743,27.459060435491963,True,,True,True
124912.0,393350.0,13,B50E0346_5,B50E0346,5,16.58,-44.41,-46.41,25,115,473,25,25,25.0,,25,-43.220001220703125,-51.5,38.0,True,,True,True
124912.0,393350.0,9,B50E0346_2,B50E0346,2,16.58,-10.35,-11.35,17,115,473,17,17,17.0,,17,1.100000023841858,-13.069999694824219,38.0,True,,True,True
124912.0,393350.0,8,B50E0346_1,B50E0346,1,16.58,5.66,4.66,15,115,473,15,15,15.0,,15,7.329999923706055,4.489999771118164,38.0,True,,True,True
124711.0,393266.0,6,B50E0429_1,B50E0429,1,16.8,11.87,11.37,11,118,465,10,11,,,"10, 11",14.050000190734863,9.0600004196167,42.15447781671598,True,10,True,True
120353.0,393100.0,9,B50E0140_2,B50E0140,2,14.7,-6.19,-8.19,17,125,291,17,17,17.0,,17,-5.170000076293945,-14.359999656677246,50.08991914547278,True,,True,True
120353.0,393100.0,18,B50E0140_6,B50E0140,6,14.7,-80.53,-82.53,35,125,291,35,35,35.0,,35,-68.0199966430664,-107.2300033569336,50.08991914547278,True,,True,True
120353.0,393100.0,12,B50E0140_3,B50E0140,3,14.7,-41.7,-43.7,23,125,291,23,23,23.0,,23,-26.549999237060547,-53.529998779296875,50.08991914547278,True,,True,True
124155.0,393092.0,9,B50E0146_2,B50E0146,2,16.75,-2.33,-3.33,17,125,443,17,17,17.0,,17,0.550000011920929,-16.799999237060547,42.2965719651132,True,,True,True
121880.0,392960.0,4,B50E0541_1,B50E0541,1,16.6,14.8,14.52,7,130,352,5,7,,6,"5, 6, 7",15.789999961853027,14.25,31.622776601683793,True,"5, 6",True,True
125050.0,392848.0,12,B50E0348_4,B50E0348,4,18.15,-43.06,-45.06,23,135,479,23,23,23.0,,23,-32.34000015258789,-46.77000045776367,2.0,True,,True,True
125050.0,392848.0,7,B50E0348_1,B50E0348,1,18.19,8.12,7.12,13,135,479,13,15,,14,"13, 14, 15",8.90999984741211,5.079999923706055,2.0,True,"14, 15",True,True
125050.0,392848.0,9,B50E0348_2,B50E0348,2,18.15,-5.8,-6.8,17,135,479,17,17,17.0,,17,-0.5199999809265137,-12.75,2.0,True,,True,True
124382.0,392421.0,8,B50E0157_2,B50E0157,2,17.63,8.64,7.64,15,152,452,15,15,15.0,,15,9.199999809265137,6.840000152587891,43.18564576337837,True,,True,True
121563.0,392300.0,5,B50E0548_1,B50E0548,1,16.82,15.05,14.78,9,157,339,6,7,,,"6, 7",15.050000190734863,14.600000381469727,51.66236541235796,False,"6, 7",True,True
122178.0,392044.0,5,B50E0563_1,B50E0563,1,16.14,15.08,14.83,9,167,364,7,9,,8,"7, 8, 9",15.470000267028809,14.380000114440918,28.635642126552707,True,"7, 8",True,True
114783.0,391892.0,7,5029_1,5029,1,-0.12,4.0,3.0,13,173,68,11,13,,12,"11, 12, 13",5.570000171661377,2.559999942779541,53.41348144429457,True,"11, 12",True,True
114783.0,391892.0,7,B50B0438_1,B50B0438,1,9.61,4.27,3.27,13,173,68,11,13,,12,"11, 12, 13",5.570000171661377,2.559999942779541,53.41348144429457,True,"11, 12",True,True
114783.0,391892.0,9,5029_3,5029,3,-0.01,-4.45,-5.45,17,173,68,17,17,17.0,,17,-3.309999942779541,-14.850000381469727,53.41348144429457,True,,True,True
114783.0,391892.0,9,B50B0438_3,B50B0438,3,9.61,-7.75,-8.75,17,173,68,17,17,17.0,,17,-3.309999942779541,-14.850000381469727,53.41348144429457,True,,True,True
117588.0,391841.0,10,B50B0216_2,B50B0216,2,9.25,-23.41,-25.41,19,175,180,19,19,19.0,,19,-13.760000228881836,-27.670000076293945,39.05124837953327,True,,True,True
117588.0,391841.0,7,B50B0216_1,B50B0216,1,9.25,5.09,3.09,13,175,180,11,13,,12,"11, 12, 13",6.389999866485596,1.9600000381469727,39.05124837953327,True,"11, 12",True,True
121255.0,391641.0,3,B50E0539_1,B50E0539,1,17.87,16.61,16.33,5,183,327,5,5,5.0,,5,17.149999618530273,16.010000228881836,10.295630140987,True,,True,True
114803.0,391524.0,3,B50B0527_1,B50B0527,1,8.06,7.41,7.26,5,188,69,5,5,5.0,,5,8.0,6.670000076293945,53.71219600798314,True,,True,True
113599.0,391370.0,6,5244_1,5244,1,2.35,3.35,2.35,11,194,20,7,11,,"8, 9, 10","7, 8, 9, 10, 11",3.5799999237060547,1.2100000381469727,52.92447448959697,True,"7, 8, 9, 10",True,True
113927.0,391248.0,3,5237_1,5237,1,6.9,6.05,5.05,5,199,34,5,5,5.0,,5,6.380000114440918,4.789999961853027,23.08679276123039,True,,True,True
115406.0,391061.0,4,B50B0529_1,B50B0529,1,9.77,7.94,7.49,7,206,93,5,7,,6,"5, 6, 7",9.84000015258789,7.03000020980835,45.35416188179427,True,"5, 6",True,True
116055.0,390807.0,5,5238_1,5238,1,-0.11,7.74,6.74,9,216,119,7,9,,8,"7, 8, 9",8.264309883117676,6.210000038146973,43.289721643826724,True,"7, 8",True,True
114816.0,390305.0,9,B50B0577_1,B50B0577,1,8.12,-0.28,-1.78,17,236,69,16,17,,,"16, 17",2.6700000762939453,-12.149999618530273,56.4003546088143,True,16,True,True
122688.0,390226.0,3,B50E0537_2,B50E0537,2,21.99,18.48,18.18,5,239,384,5,5,5.0,,5,21.270000457763672,17.639999389648438,44.94441010848846,True,,True,True
